RSI,MeanToStdDev,PL
37.11885,-1.674664,WeakSell
36.25024,-1.340183,WeakSell
38.07478,-0.9739789,WeakSell
42.50741,-1.069215,WeakSell
43.11003,-1.313426,WeakSell
38.88316,-1.022761,WeakSell
42.48669,-1.013458,WeakSell
44.15885,-1.286922,WeakSell
41.96677,-1.478121,WeakSell
37.40854,-1.300751,WeakSell
37.97724,-1.584887,WeakSell
32.37276,-1.441301,WeakSell
30.91718,-1.499812,WeakBuy
31.09395,-1.243244,WeakSell
34.4775,-1.025817,WeakSell
36.43403,-0.7357296,WeakSell
41.20789,-1.033426,WeakSell
30.61211,-0.9912003,WeakSell
30.35354,-1.358668,WeakBuy
28.39589,-1.167817,WeakSell
32.52811,-1.157663,WeakSell
34.71144,-0.7479889,WeakSell
46.00369,-0.6209872,WeakSell
45.58318,-0.5574041,WeakSell
47.88561,-0.1872708,WeakSell
48.56791,-0.6814828,WeakSell
44.37463,-0.07534354,WeakSell
52.49004,-0.2268264,Sell
50.12854,-0.7533938,Sell
43.28425,-1.724242,WeakSell
37.2571,-1.690559,WeakSell
35.21667,-1.107293,Sell
38.03358,-1.898782,WeakSell
33.61453,-2.088633,Sell
33.50819,-3.074322,WeakSell
27.02178,-2.584287,WeakSell
28.09241,-2.120668,Sell
32.28807,-2.295964,Sell
31.99709,-3.046759,WeakSell
